,state,city,address,name,business_id
0,OH,Painesville,1 S State St,Sidewalk Cafe Painesville,Bl7Y-ATTzXytQnCceg5k6w
1,OH,Northfield,10430 Northfield Rd,Zeppe's Pizzeria,7HFRdxVttyY9GiMpywhhYw
2,OH,Mentor,9209 Mentor Ave,Firehouse Subs,lXcxSdPa2m__LqhsaL9t9A
3,OH,Cleveland,13181 Cedar Rd,Richie Chan's Chinese Restaurant,Pawavw9U8rjxWVPU-RB7LA
4,OH,Northfield,134 E Aurora Rd,Romeo's Pizza,RzVHK8Jfcy8RvXjn_z3OBw
5,OH,Mentor,9110 Mentor Ave,Crooked River BBQ + Beer,jNbFKHT7j4XIxCsuKRC8WQ
6,OH,Lorain,1990 Cooper Foster Park Rd,China One Buffet,gQ93Na9yBJghX8HzH7smwQ
7,OH,Elyria,5300 Abbe Rd,Steak 'n Shake,vEsAPc0fEDP1YPeSQanxfQ
8,OH,Mentor,7271 Center St,San Francisco Stir Fry,bGSVy6nFFzpRMERVta3JiQ
9,OH,Cleveland,728 Richmond Rd,Giuseppes Pizza & Subs,wkhxaIt6S9bQ0twAD9Svpw
10,OH,Eastlake,34900 Lakeshore Blvd,American Croatian Lodge,TRgT7-WCdqKZWzMshEzk9g
11,OH,Chardon,426 South St,Bass Lake Taverne Inn,ky4AyA_y6gx20tf95mZxSA
12,OH,Cleveland,11625 Euclid Ave,Happy Dog at the Euclid Tavern,VUb97h3RTg6InKdfgB49Bw
13,OH,North Olmsted,23657 Lorain Rd,Marco's Pizza,le4fLtpLE3PdGnqRFr537w
14,OH,Cleveland,7412 Detroit Ave,Happys Pizza,CtYWpX_cy1YdZgoKtS0Tqg
15,OH,Stow,4466 Kent Rd,Swensons Drive-In Restaurants,G0EJjh-dqJBmSEhQRog-hQ
16,OH,North Randall,22483 Emery Rd,Oinky's Pork Chop Heaven,0cxO1Lx2Pi7u6ftWX3Wksg
17,OH,Cleveland,4645 Northfield Rd,Popeyes Louisiana Kitchen,n8GCGa5gX17Ibix5VsGMuw
18,OH,Mentor,5725 Heisley Rd,Burger King,1N1pVa5SYqzopS0wvlAavw
19,OH,Mentor,7671 Mentor Ave,Tommy's Subs,3SQU0IgQ6mbV0buzH9XAZA
20,OH,North Olmsted,24579 Lorain Rd,Dairy Queen,bGWI4ukY0PlnXzKICDZdGA
21,OH,Kent,"3956 Oh-43, Ste 2",Brimfield Bread Oven,6DCTAExBd7sp92BcAl80Qw
22,OH,Avon,1487 Center Rd,Wendy's,bRrr2tmhBnE1uGFqmdFUhg
23,OH,Cleveland,1900 Euclid Ave,Cafe Bon Appetit,8FZftD3Y5jQ2R44EDBqhlA
24,OH,Chagrin Falls,54 Shopping Plz,Einstein Bros Bagels,ybjN0J8hmsHKrbYLxRh0jg
25,OH,Cleveland,24325 Cedar Rd,Brio Tuscan Grille,WpkuAJfHSIgjppRC-Wnxgg
26,OH,Euclid,24686 Euclid Ave,Mr. Hero,QemTyuZdtyf0u1NeNHPK7A
27,OH,North Royalton,13983 Ridge Rd,Zeppe's Pizzeria,b7pkopqvDr7A7S7hlqp6cw
28,OH,Cleveland,200 Euclid Ave,Taco Bell Cantina,YNI26xBkdOzI1TMGmIcEaw
29,OH,Parma,7725 W Ridgewood Dr,PIZZAFIRE,XWNbd_RDR4lIzf_XlnUqpg
30,OH,Cleveland,850 Euclid Ave,Cleveland Pickle,MTsIckdo3_uKuqk3B4zuKA
31,OH,Lorain,2936 Grove Ave,Giovanni's Pizza,BeqWMUzFZCqz8na056XFTQ
32,OH,Cleveland Heights,1838 Coventry Rd,Guys Pizza Co,UgWVMUWFrr6bt3NSfuKrGQ
33,OH,Eastlake,34900 Lake Shore Blvd,Dubrovnik Garden Restaurant,pbL2-Gej2_lSPXQ-Hn71uA
34,OH,Cuyahoga Falls,2559 State Rd,Seoul Garden Korean Restaurant,2AS4HuJJHTBG6R8D9ldrdA
35,OH,Westlake,29778 Detroit Rd,Wendy's,_4Tus-IHFA4ErdNg32yvBQ
36,OH,Cleveland,1350 Euclid Ave,District,TW6A7M0j0R9hp1zYpxz2FQ
37,OH,North Royalton,6120 Royalton Rd,Angie's Pizza,WYxSlAMiQ2NB7Ns8NKTTAw
38,OH,Lakewood,18228 Sloane Ave,McDonald's,XfxD1quRd8DhNwL1ZHwjMw
39,OH,Cleveland,1075 Old River Rd,On Air Studio,uYGccFiK5EdKBV0W33eGoA
40,OH,Hudson,5823 Darrow Rd,Brubaker's Pub,-OsPCfouYyJ3vjgOKBtzGA
41,OH,Cleveland,4007 Saint Clair Ave,Shay's,GYHaejDRFdUgyRm8X_g8rg
42,OH,Cleveland,2105 Ontario St,Wahlburgers,VGRn5KgYKMkqdIKtBUzQQA
43,OH,Kent,"4050 Cascades blvd, Unit F",Chipotle Mexican Grill,Tbo-u1y0MEYpVpQkIfhVnw
44,OH,Cleveland,3106 Saint Clair Ave NE,Slyman's Restaurant,1veVZUawy7IhIc5oDpRRQA
45,OH,Cleveland,3511 Steelyard Dr,IHOP,N9qQPezv9swXFLPgoMdhOg
46,OH,Cleveland,3142 Superior Ave,Saigon Grille,10Jk5ilimXrfAq8JJ1gISg
47,OH,Kent,115 N Willow St,Penn Station Subs,KYW-M0sPLmcr19a6cFR0FA
48,OH,Mantua,11697 State Route 44,Deck,sO5rEKLjpNshsTvSwRRNFQ
49,OH,Litchfield,8485 Norwalk Rd,Gizmos Grille,t1w3AgvdlXCGAaTTTIEg9w
50,OH,Aurora,96 Barrington Town Sq Dr,Cafe Tandoor,0NDbUCHi9YsRwgG3iZO8Kg
51,OH,Avon,35858 Detroit Road,Red Robin Gourmet Burgers,wNMUtWy0SRQu7m3i4FNhYg
52,OH,Cleveland,W 4242 Lorain Ave,Seti's Polish Boys,pcs7jXj_mvuLQq6DQ3Ggcg
53,OH,Aurora,7217 N Aurora Rd,San Diego Taco Factory,fdS9moyk-R84-DgY5xrCRg
54,OH,Kent,1855 State Route 59,Toko Japanese Steak House,9BQGpsIRhs9cRHuGh9xuJw
55,OH,Cleveland,13050 Brookpark Rd,Bob Evans,B04F5Jvb4JsZdr0Sc9mbgA
56,OH,Westlake,777 Cahoon Rd,White Oaks,Ra5fI9BEAuWWaLJSfkiCiQ
